Peak load,Operating reverse,Taipei,Taichung,Kaohsiung,day
23872,2557,16.2,18.8,21.3,2
28148,1899,17,18.9,21.2,3
28452,1891,18.4,19.3,22.5,4
28490,1811,22,20.9,22.9,5
26054,1903,19.9,22.2,24.9,6
24617,2333,18,20.1,23.9,7
28536,1800,20.6,20.7,23.1,1
28719,1843,20,21.1,23.4,2
28641,1954,18.7,20.9,23.4,3
29006,1847,22.7,21.5,24,4
28798,1884,22.1,22.6,24.8,5
25905,2497,19.6,22.3,25.1,6
24629,2398,18.6,20.6,23.5,7
28348,1745,19.7,20.4,22.9,1
28887,1844,21,20.4,22.8,2
28649,1849,16.6,17.5,20.8,3
28395,1933,15.7,16.3,19.9,4
27756,1935,18.2,18.4,20.2,5
26477,1954,19.1,19.6,21.9,6
24539,2599,18.4,20.1,22.5,7
27739,1915,15.2,16.6,19.3,1
28140,1921,14.5,15,18.5,2
27838,1938,16.2,16.4,18.7,3
27863,1872,17.8,17.6,20.6,4
27296,1906,18.9,17.8,21.1,5
25282,2535,15.4,16.7,19.2,6
24414,2092,15.5,16.8,19,7
27557,1806,17.9,17.4,20.5,1
27858,1832,20,18.3,21.8,2
27760,1810,20.9,20.6,22.5,3
27181,1890,19.9,22.4,24.2,4
24709,2148,15,17.1,22.1,5
23382,2241,20.1,18.8,22.8,6
22915,2038,21.8,21.8,24.8,7
20214,2563,18.2,21.3,24,1
19992,2333,18.5,20.1,22.5,2
19936,2322,20.8,21.6,23.2,3
20938,2107,22.1,23.2,25,4
21581,3115,16.9,19.9,23,5
22436,3136,16.4,19.2,23.3,6
23236,3023,16.8,19,23,7
26667,2275,16.7,18.9,23.2,1
27768,1860,20.7,20.4,23.1,2
27699,1915,18.9,21.6,25.1,3
28250,1943,19.1,21.8,24.6,4
28262,1959,21.3,22.6,24.2,5
25432,2426,18,21.2,24.3,6
24343,2673,16.8,19.3,22.9,7
28645,1762,20.3,20.7,24.5,1
28876,1891,20.7,22.6,26.2,2
29078,1838,23,23.3,26.2,3
28912,1813,21.4,22.1,26,4
28420,1870,17.8,20.3,23.8,5
26723,1729,14.5,17.4,22.2,6
24694,1770,15.4,16.5,22.3,7
28084,1754,17.3,19.8,21.9,1
28390,1818,18.1,20.3,22.9,2
28013,1903,20.8,21.8,24,3
25472,2430,18.8,22.2,25.4,4
24689,2371,19.5,21.3,23.6,5
24734,1833,21.9,22.9,24.3,6
24102,2224,18.9,20.2,24.4,7
27688,1895,18.4,20.8,23.4,1
28241,1954,19.9,20.7,25.5,2
28032,1922,17.9,19.9,23.9,3
