Peak load,Operating reverse,Taipei,Taichung,Kaohsiung,day
26556,2832,0,0,0,0
29416,3221,0,0,0,0
29677,3075,0,0,0,0
29785,3088,0,0,0,0
29869,3268,0,0,0,0
26912,2805,0,0,0,0
25794,2752,0,0,0,0
29772,3110,0,0,0,0
29947,3048,0,0,0,0
29906,3055,0,0,0,0
30040,3077,0,0,0,0
29928,3272,0,0,0,0
26797,3075,0,0,0,0
25641,2933,0,0,0,0
30088,3074,0,0,0,0
30684,3087,0,0,0,0
30716,3183,0,0,0,0
30724,3214,0,0,0,0
30865,3137,0,0,0,0
27747,2839,0,0,0,0
25688,3186,0,0,0,0
0,0,0,0,0,0
0,0,18.5,20.5,21.5,2
0,0,15,19.5,23,3
0,0,18.5,21.5,23.3,4
0,0,21.5,23,24,5
0,0,23.5,25.5,24.8,6
0,0,25,29,26.5,7
0,0,24.5,28.5,26.5,1
